id,url,href,title,price_ghs,price_period,price_ghs_month,is_daily_rate,beds,baths,garages,area_m2,neighborhood,furnished,is_featured
413730,https://meqasa.com/apartment-for-rent-at-Cantonments-413730,/apartment-for-rent-at-Cantonments-413730?y=186631647,"1 bedroom furnished apartment for rent in Accra, Cantonments",1380,day,41400,True,1,1,1,70.0,Cantonments,True,False
473999,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-473999,/apartment-for-rent-at-Airport-Residential-Area-473999?y=186631647,"2 bedroom furnished apartment for rent in Accra, Airport Residential Area",20053,month,20053,False,2,2,2,,Airport Residential Area,True,False
472180,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-472180,/apartment-for-rent-at-Airport-Residential-Area-472180?y=186631647,"3 bedroom furnished apartment for rent in Accra, Airport Residential Area",66842,month,66842,False,3,4,3,320.0,Airport Residential Area,True,False
402588,https://meqasa.com/apartment-for-rent-at-Dzorwulu-north-402588,/apartment-for-rent-at-Dzorwulu-north-402588?y=186631647,"1 bedroom furnished apartment for rent in Accra, Dzorwulu north",5570,month,5570,False,1,1,1,,Dzorwulu north,True,False
186513,https://meqasa.com/apartment-for-rent-at-Adjiringanor-186513,/apartment-for-rent-at-Adjiringanor-186513?y=186631647,2 bedroom apartment for rent in Adjiringanor,3500,month,3500,False,2,2,20,2500.0,Adjiringanor,False,False
460434,https://meqasa.com/apartment-for-rent-at-Airport-Area-460434,/apartment-for-rent-at-Airport-Area-460434?y=186631647,"2 bedroom furnished apartment for rent in Accra, Airport Area",22281,month,22281,False,2,2,2,180.0,Airport Area,True,False
462254,https://meqasa.com/apartment-for-rent-at-Cantonments-462254,/apartment-for-rent-at-Cantonments-462254?y=186631647,"2 bedroom furnished apartment for rent in Accra, Cantonments",32200,month,32200,False,2,2,1,,Cantonments,True,False
458255,https://meqasa.com/apartment-for-rent-at-Labone-458255,/apartment-for-rent-at-Labone-458255?y=186631647,"2 bedroom furnished apartment for rent in Accra, Labone",31193,month,31193,False,2,3,3,120.0,Labone,True,False
463320,https://meqasa.com/apartment-for-rent-at-Sakumono--463320,/apartment-for-rent-at-Sakumono--463320?y=186631647,1 bedroom apartment for rent in Sakumono,7700,month,7700,False,1,1,1,152.0,Sakumono,False,False
464794,https://meqasa.com/apartment-for-rent-at-Cantonment-464794,/apartment-for-rent-at-Cantonment-464794?y=186631647,3 bedroom furnished apartment for rent in Cantonment,44562,month,44562,False,3,3,1,,Cantonment,True,False
473413,https://meqasa.com/apartment-for-rent-at-Kwabenya-473413,/apartment-for-rent-at-Kwabenya-473413?y=186631647,2 bedroom furnished apartment for rent in Kwabenya,9000,month,9000,False,2,9000,1,,Kwabenya,True,False
433915,https://meqasa.com/apartment-for-rent-at-Spintex-basket-433915,/apartment-for-rent-at-Spintex-basket-433915?y=186631647,"2 bedroom apartment for rent in Accra, Spintex basket",3600,month,3600,False,2,3,,,Spintex basket,False,False
362615,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-362615,/apartment-for-rent-at-Airport-Residential-Area-362615?y=186631647,"3 bedroom furnished apartment for rent in Accra, Airport Residential Area",39040,month,39040,False,3,4,2,,Airport Residential Area,True,False
407234,https://meqasa.com/apartment-for-rent-at-Cantonment--407234,/apartment-for-rent-at-Cantonment--407234?y=186631647,2 bedroom furnished apartment for rent in Cantonment,36600,month,36600,False,2,3,2,,Cantonment,True,False
468652,https://meqasa.com/apartment-for-rent-at-East-Legon-468652,/apartment-for-rent-at-East-Legon-468652?y=186631647,"2 bedroom furnished apartment for rent in Accra, East Legon",13800,month,13800,False,2,2,,,East Legon,True,False
459690,"https://meqasa.com/apartment-for-rent-at-East-Legon,-Lagos-Avenue-459690","/apartment-for-rent-at-East-Legon,-Lagos-Avenue-459690?y=186631647","2 bedroom furnished apartment for rent in Accra, East Legon, Lagos Avenue",19550,month,19550,False,2,3,,,"East Legon, Lagos Avenue",True,False
363360,https://meqasa.com/apartment-for-rent-at-East-Legon-363360,/apartment-for-rent-at-East-Legon-363360?y=186631647,"2 bedroom apartment for rent in Accra, East Legon",6684,month,6684,False,2,2,2,200.0,East Legon,False,False
386750,https://meqasa.com/apartment-for-rent-at-West-Hills-Mall-386750,/apartment-for-rent-at-West-Hills-Mall-386750?y=186631647,2 bedroom furnished apartment for rent in West Hills Mall,3500,week,15208,False,2,3,2,,West Hills Mall,True,False
471192,https://meqasa.com/apartment-for-rent-at-East-Legon-471192,/apartment-for-rent-at-East-Legon-471192?y=186631647,"3 bedroom furnished apartment for rent in Accra, East Legon",1800,day,54000,True,3,3,2,,East Legon,True,False
473451,"https://meqasa.com/apartment-for-rent-at-East-Legon,-Dell-hospital--473451","/apartment-for-rent-at-East-Legon,-Dell-hospital--473451?y=186631647","2 bedroom apartment for rent in Accra, East Legon, Dell hospital",5000,month,5000,False,2,3,2,9.0,"East Legon, Dell hospital",False,False
437828,https://meqasa.com/apartment-for-rent-at-Ofankor-Achimota--437828,/apartment-for-rent-at-Ofankor-Achimota--437828?y=186631647,"2 bedroom furnished apartment for rent in Accra, Ofankor Achimota",6000,month,6000,False,2,3,2,100.0,Ofankor Achimota,True,False
470875,https://meqasa.com/apartment-for-rent-at-Achimota-470875,/apartment-for-rent-at-Achimota-470875?y=186631647,"3 bedroom furnished apartment for rent in Accra, Achimota",16711,month,16711,False,3,4,3,,Achimota,True,False
218884,https://meqasa.com/apartment-for-rent-at-Community-18-Spintex-218884,/apartment-for-rent-at-Community-18-Spintex-218884?y=186631647,"2 bedroom furnished apartment for rent in Accra, Community 18 Spintex",14950,month,14950,False,2,2,1,100.0,Community 18 Spintex,True,False
474231,https://meqasa.com/apartment-for-rent-at-Ofankor-474231,/apartment-for-rent-at-Ofankor-474231?y=186631647,2 bedroom apartment for rent in Ofankor,2300,month,2300,False,2,1,3,564.0,Ofankor,False,False
209398,https://meqasa.com/apartment-for-rent-at-Spintex-Community-18--209398,/apartment-for-rent-at-Spintex-Community-18--209398?y=186631647,"2 bedroom furnished apartment for rent in Accra, Spintex Community 18",11950,month,11950,False,2,2,1,80.0,Spintex Community 18,True,False
459693,https://meqasa.com/apartment-for-rent-at-Cantoments-459693,/apartment-for-rent-at-Cantoments-459693?y=186631647,1 bedroom furnished apartment for rent in Cantoments,27851,month,27851,False,1,1,3,,Cantoments,True,False
455927,https://meqasa.com/apartment-for-rent-at-Labadi-Around-Mawarko-455927,/apartment-for-rent-at-Labadi-Around-Mawarko-455927?y=186631647,1 bedroom furnished apartment for rent in Labadi Around Mawarko,8912,month,8912,False,1,1,1,90.0,Labadi Around Mawarko,True,False
456010,https://meqasa.com/apartment-for-rent-at-Cantonments-456010,/apartment-for-rent-at-Cantonments-456010?y=186631647,"3 bedroom furnished apartment for rent in Accra, Cantonments",27851,month,27851,False,3,4,6,200.0,Cantonments,True,False
461313,https://meqasa.com/apartment-for-rent-at-OSU-Ako-Adjei-461313,/apartment-for-rent-at-OSU-Ako-Adjei-461313?y=186631647,"2 bedroom furnished apartment for rent in Accra, OSU-Ako Adjei",24509,month,24509,False,2,4,3,190.0,OSU-Ako Adjei,True,False
459694,https://meqasa.com/apartment-for-rent-at-Cantonments-459694,/apartment-for-rent-at-Cantonments-459694?y=186631647,"3 bedroom furnished apartment for rent in Accra, Cantonments",50132,month,50132,False,3,4,3,,Cantonments,True,False
474073,https://meqasa.com/apartment-for-rent-at-East-Legon-474073,/apartment-for-rent-at-East-Legon-474073?y=186631647,"2 bedroom apartment for rent in Accra, East Legon",6500,month,6500,False,2,3,,,East Legon,False,False
272796,https://meqasa.com/apartment-for-rent-at-Achimota-272796,/apartment-for-rent-at-Achimota-272796?y=186631647,"2 bedroom apartment for rent in Accra, Achimota",1337,day,40110,True,2,2,1,140.0,Achimota,False,False
472820,https://meqasa.com/apartment-for-rent-at-Oyarifa-472820,/apartment-for-rent-at-Oyarifa-472820?y=186631647,2 bedroom apartment for rent in Oyarifa,3000,month,3000,False,2,2,,,Oyarifa,False,False
474053,https://meqasa.com/apartment-for-rent-at-East-Legon-474053,/apartment-for-rent-at-East-Legon-474053?y=186631647,"2 bedroom apartment for rent in Accra, East Legon",9469,month,9469,False,2,1,,,East Legon,False,False
473844,https://meqasa.com/apartment-for-rent-at-Roman-Ridge-473844,/apartment-for-rent-at-Roman-Ridge-473844?y=186631647,"1 bedroom furnished apartment for rent in Accra, Roman Ridge",22281,month,22281,False,1,1,1,,Roman Ridge,True,False
472783,https://meqasa.com/apartment-for-rent-at-Cantonments-472783,/apartment-for-rent-at-Cantonments-472783?y=186631647,"3 bedroom furnished apartment for rent in Accra, Cantonments",26356,month,26356,False,3,3,,,Cantonments,True,False
147879,https://meqasa.com/apartment-for-rent-at-EAST-LEGON-HILLS-147879,/apartment-for-rent-at-EAST-LEGON-HILLS-147879?y=186631647,"2 bedroom apartment for rent in Accra, EAST LEGON HILLS",6000,month,6000,False,2,2,,,EAST LEGON HILLS,False,False
344456,"https://meqasa.com/apartment-for-rent-at-OSU,-RINGWAY-ESTATE--344456","/apartment-for-rent-at-OSU,-RINGWAY-ESTATE--344456?y=186631647","1 bedroom furnished apartment for rent in Accra, OSU, RINGWAY ESTATE",2289,day,68670,True,1,1,2,72.0,"OSU, RINGWAY ESTATE",True,False
473995,https://meqasa.com/apartment-for-rent-at-East-Airport-473995,/apartment-for-rent-at-East-Airport-473995?y=186631647,"1 bedroom furnished apartment for rent in Accra, East Airport",11140,month,11140,False,1,1,,,East Airport,True,False
473993,https://meqasa.com/apartment-for-rent-at-East-Airport-473993,/apartment-for-rent-at-East-Airport-473993?y=186631647,"2 bedroom furnished apartment for rent in Accra, East Airport",1671,day,50130,True,2,1,,,East Airport,True,False
399843,https://meqasa.com/apartment-for-rent-at-East-Cantonments-399843,/apartment-for-rent-at-East-Cantonments-399843?y=186631647,"2 bedroom furnished apartment for rent in Accra, East Cantonments",38991,month,38991,False,2,2,,,East Cantonments,True,False
473570,https://meqasa.com/apartment-for-rent-at-teshie-centry--473570,/apartment-for-rent-at-teshie-centry--473570?y=186631647,"1 bedroom apartment for rent in Accra, teshie centry",2300,month,2300,False,1,2,,,teshie centry,False,False
473159,https://meqasa.com/apartment-for-rent-at-School-Junction-KFC-enclave--473159,/apartment-for-rent-at-School-Junction-KFC-enclave--473159?y=186631647,2 bedroom apartment for rent in School Junction KFC enclave,4300,month,4300,False,2,3,,,School Junction KFC enclave,False,False
471236,https://meqasa.com/apartment-for-rent-at-East-Airport--471236,/apartment-for-rent-at-East-Airport--471236?y=186631647,"2 bedroom furnished apartment for rent in Accra, East Airport",22281,month,22281,False,2,3,6,123.0,East Airport,True,False
473191,https://meqasa.com/apartment-for-rent-at-Adjiringanor-473191,/apartment-for-rent-at-Adjiringanor-473191?y=186631647,3 bedroom furnished apartment for rent in Adjiringanor,19200,month,19200,False,3,3,2,250.0,Adjiringanor,True,False
464602,https://meqasa.com/apartment-for-rent-at-Osu-464602,/apartment-for-rent-at-Osu-464602?y=186631647,"2 bedroom furnished apartment for rent in Accra, Osu",18000,month,18000,False,2,2,2,274.0,Osu,True,False
472331,https://meqasa.com/apartment-for-rent-at-Cantoment--472331,/apartment-for-rent-at-Cantoment--472331?y=186631647,1 bedroom furnished apartment for rent in Cantoment,22281,month,22281,False,1,1,,100.0,Cantoment,True,False
67780,https://meqasa.com/apartment-for-rent-at-Polo-Hight-067780,/apartment-for-rent-at-Polo-Hight-067780?y=186631647,3 bedroom apartment for rent in Polo Hight,33421,month,33421,False,3,3,2,100.0,Polo Hight,False,False
472332,https://meqasa.com/apartment-for-rent-at-Cantonments-472332,/apartment-for-rent-at-Cantonments-472332?y=186631647,"1 bedroom furnished apartment for rent in Accra, Cantonments",20610,month,20610,False,1,1,1,100.0,Cantonments,True,False
472944,https://meqasa.com/apartment-for-rent-at-Ablekuma-Agwagina--472944,/apartment-for-rent-at-Ablekuma-Agwagina--472944?y=186631647,1 bedroom apartment for rent in Ablekuma Agwagina,500,month,500,False,1,1,,,Ablekuma Agwagina,False,False
186506,https://meqasa.com/apartment-for-rent-at-Adjiringanor--186506,/apartment-for-rent-at-Adjiringanor--186506?y=186631647,2 bedroom apartment for rent in Adjiringanor,3500,month,3500,False,2,2,10,2500.0,Adjiringanor,False,False
348801,https://meqasa.com/apartment-for-rent-at-Tesano-348801,/apartment-for-rent-at-Tesano-348801?y=186631647,"1 bedroom furnished apartment for rent in Accra, Tesano",8912,month,8912,False,1,2,2,,Tesano,True,False
95887,https://meqasa.com/apartment-for-rent-at-Airport-Residential-Area-095887,/apartment-for-rent-at-Airport-Residential-Area-095887?y=186631647,"2 bedroom furnished apartment for rent in Accra, Airport Residential Area",24509,month,24509,False,2,1,,1000.0,Airport Residential Area,True,False
467642,https://meqasa.com/apartment-for-rent-at-Ogbojo-467642,/apartment-for-rent-at-Ogbojo-467642?y=186631647,2 bedroom apartment for rent in Ogbojo,5000,month,5000,False,2,3,,,Ogbojo,False,False
465644,https://meqasa.com/apartment-for-rent-at-Airport-Area-465644,/apartment-for-rent-at-Airport-Area-465644?y=186631647,"2 bedroom furnished apartment for rent in Accra, Airport Area",24509,month,24509,False,2,2,2,120.0,Airport Area,True,False
440352,https://meqasa.com/apartment-for-rent-at-Tse-Addo-440352,/apartment-for-rent-at-Tse-Addo-440352?y=186631647,1 bedroom furnished apartment for rent in Tse Addo,11500,month,11500,False,1,2,,,Tse Addo,True,False
459211,https://meqasa.com/apartment-for-rent-at-Spintex--459211,/apartment-for-rent-at-Spintex--459211?y=186631647,"2 bedroom furnished apartment for rent in Accra, Spintex",9500,month,9500,False,2,2,6,123.0,Spintex,True,False
406185,https://meqasa.com/apartment-for-rent-at-Cantonments-406185,/apartment-for-rent-at-Cantonments-406185?y=186631647,"2 bedroom furnished apartment for rent in Accra, Cantonments",27851,month,27851,False,2,3,2,,Cantonments,True,False
408207,https://meqasa.com/apartment-for-rent-at-East-Airport-408207,/apartment-for-rent-at-East-Airport-408207?y=186631647,"3 bedroom apartment for rent in Accra, East Airport",17825,month,17825,False,3,3,2,,East Airport,False,False
247944,https://meqasa.com/apartment-for-rent-at-East-Legon-247944,/apartment-for-rent-at-East-Legon-247944?y=186631647,"3 bedroom apartment for rent in Accra, East Legon",11000,month,11000,False,3,3,3,150.0,East Legon,False,False
474794,https://meqasa.com/apartment-for-rent-at-Tse-Addo-474794,/apartment-for-rent-at-Tse-Addo-474794?y=186631647,1 bedroom apartment for rent in Tse Addo,2500,month,2500,False,1,1,1,987.0,Tse Addo,False,False
474797,https://meqasa.com/apartment-for-rent-at-North-Kaneshie-474797,/apartment-for-rent-at-North-Kaneshie-474797?y=186631647,"1 bedroom furnished apartment for rent in Accra, North Kaneshie",4000,month,4000,False,1,1,2,987.0,North Kaneshie,True,False
472529,https://meqasa.com/apartment-for-rent-at-Spintex-472529,/apartment-for-rent-at-Spintex-472529?y=186631647,"2 bedroom apartment for rent in Accra, Spintex",3500,month,3500,False,2,2,2,987.0,Spintex,False,False
115178,https://meqasa.com/apartment-for-rent-at-Teshie-115178,/apartment-for-rent-at-Teshie-115178?y=186631647,"2 bedroom apartment for rent in Accra, Teshie",3000,month,3000,False,2,2,,,Teshie,False,False
115708,https://meqasa.com/apartment-for-rent-at-Dzorwulu-115708,/apartment-for-rent-at-Dzorwulu-115708?y=186631647,"2 bedroom apartment for rent in Accra, Dzorwulu",4000,month,4000,False,2,2,,,Dzorwulu,False,False
468055,https://meqasa.com/apartment-for-rent-at-Spintex-468055,/apartment-for-rent-at-Spintex-468055?y=186631647,"2 bedroom apartment for rent in Accra, Spintex",3000,month,3000,False,2,3,2,985.0,Spintex,False,False
472653,https://meqasa.com/apartment-for-rent-at-Spintex-472653,/apartment-for-rent-at-Spintex-472653?y=186631647,"2 bedroom apartment for rent in Accra, Spintex",2500,month,2500,False,2,2,2,987.0,Spintex,False,False
118389,https://meqasa.com/apartment-for-rent-at-Labone-118389,/apartment-for-rent-at-Labone-118389?y=186631647,"2 bedroom apartment for rent in Accra, Labone",33421,month,33421,False,2,2,,,Labone,False,False
303735,https://meqasa.com/apartment-for-rent-at-Airport--303735,/apartment-for-rent-at-Airport--303735?y=186631647,3 bedroom furnished apartment for rent in Airport,4193,day,125790,True,3,3,,,Airport,True,False
312858,https://meqasa.com/apartment-for-rent-at-Airport-312858,/apartment-for-rent-at-Airport-312858?y=186631647,3 bedroom furnished apartment for rent in Airport,38336,month,38336,False,3,3,,,Airport,True,False
115169,https://meqasa.com/apartment-for-rent-at-Teshie-115169,/apartment-for-rent-at-Teshie-115169?y=186631647,"1 bedroom apartment for rent in Accra, Teshie",1500,month,1500,False,1,1,,,Teshie,False,False
114587,https://meqasa.com/apartment-for-rent-at-East-Legon-114587,/apartment-for-rent-at-East-Legon-114587?y=186631647,"1 bedroom apartment for rent in Accra, East Legon",2000,month,2000,False,1,1,,,East Legon,False,False
472305,https://meqasa.com/apartment-for-rent-at-Ogbojo-472305,/apartment-for-rent-at-Ogbojo-472305?y=186631647,1 bedroom apartment for rent in Ogbojo,1500,month,1500,False,1,1,1,987.0,Ogbojo,False,False
115897,https://meqasa.com/apartment-for-rent-at-abelenkpe-115897,/apartment-for-rent-at-abelenkpe-115897?y=186631647,1 bedroom apartment for rent in abelenkpe,1200,month,1200,False,1,1,,,abelenkpe,False,False
471470,https://meqasa.com/apartment-for-rent-at-Labone-471470,/apartment-for-rent-at-Labone-471470?y=186631647,"2 bedroom furnished apartment for rent in Accra, Labone",26737,month,26737,False,2,3,2,,Labone,True,False
471607,https://meqasa.com/apartment-for-rent-at-Labone--471607,/apartment-for-rent-at-Labone--471607?y=186631647,"3 bedroom furnished apartment for rent in Accra, Labone",35649,month,35649,False,3,4,3,,Labone,True,False
470351,https://meqasa.com/apartment-for-rent-at-Cantonments-470351,/apartment-for-rent-at-Cantonments-470351?y=186631647,"3 bedroom apartment for rent in Accra, Cantonments",22281,month,22281,False,3,3,2,,Cantonments,False,False
470337,https://meqasa.com/apartment-for-rent-at-Airport-470337,/apartment-for-rent-at-Airport-470337?y=186631647,4 bedroom apartment for rent in Airport,38991,month,38991,False,4,5,3,,Airport,False,False
116128,https://meqasa.com/apartment-for-rent-at-Abelemkpe-116128,/apartment-for-rent-at-Abelemkpe-116128?y=186631647,"3 bedroom apartment for rent in Accra, Abelemkpe",6000,month,6000,False,3,3,,,Abelemkpe,False,False
266731,https://meqasa.com/apartment-for-rent-at-Airport-Residential-area--266731,/apartment-for-rent-at-Airport-Residential-area--266731?y=186631647,"1 bedroom furnished apartment for rent in Accra, Airport Residential area",13368,month,13368,False,1,1,30,90.0,Airport Residential area,True,False
275045,https://meqasa.com/apartment-for-rent-at-West-Trassaco--275045,/apartment-for-rent-at-West-Trassaco--275045?y=186631647,2 bedroom furnished apartment for rent in West Trassaco,16711,month,16711,False,2,3,3,350.0,West Trassaco,True,False
216911,https://meqasa.com/apartment-for-rent-at-Airport-city--216911,/apartment-for-rent-at-Airport-city--216911?y=186631647,"2 bedroom furnished apartment for rent in Accra, Airport city",38991,month,38991,False,2,3,100,270.0,Airport city,True,False
458490,https://meqasa.com/apartment-for-rent-at-East-Legon--458490,/apartment-for-rent-at-East-Legon--458490?y=186631647,"2 bedroom furnished apartment for rent in Accra, East Legon",27851,month,27851,False,2,3,50,175.0,East Legon,True,False
383974,https://meqasa.com/apartment-for-rent-at-Airport-City-383974,/apartment-for-rent-at-Airport-City-383974?y=186631647,"3 bedroom furnished apartment for rent in Accra, Airport City",41930,month,41930,False,3,3,3,,Airport City,True,False
